entityid,name,address,neighbourhood,url,construction_date,latitude,longitude
688bc46d-3282-46fb-b943-f11cf1fbc0ec,Mcleod Block,10132-10136 - 100 Street,Downtown,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/McLeodBuilding.pdf,1913-15,53.541951,-113.490767
7ff89335-1f36-4187-9ce3-873457aa83b8,Metals Limited Building,10190 - 104 Street,Downtown,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/MetalsBuilding.pdf,1914,53.542643,-113.499482
42112bc2-ac6f-4900-816b-c77833c4689f,Mill Creek Trestle Bridge,92 Street and 76 Avenue,Bridge,,c1900-2,53.46966944,-113.4696694
339b6ed1-d843-4803-b132-ca505520013a,Molstad Residence,9633 - 95 Avenue,Bonnie Doon,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/MolstadResidence.pdf,1912,53.531889,-113.47706
447f0fdf-a8ee-4216-ac83-0f0fab79bbff,North Telephone Exchange,10105 - 112 Avenue,Spruce Avenue,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/NorthTelephoneExchange.pdf,1912,53.560917,-113.493973
b07d64ce-03ef-41d0-ab23-4860ef4b14cc,Oblats Maison Provinciale,9916 - 110 Street,Oliver,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/Oblats.pdf,1935,53.537622,-113.510516
33ad3e04-f34b-43ee-8fdc-75ddbf0050b9,Orange Hall,10335 - 84 Avenue,Strathcona,,c. 1903,53.519784,-113.496991
9eebde24-07ee-4a23-9798-e7117e7c0e23,Otto Reher Cottage,11845 - 52 Street,Newton,,1937,53.571139,-113.421394
a77ca759-d652-45ba-838f-ae4393f3be8f,Parkview Apartments,10612 - 97 Avenue,Downtown,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/ParkviewApartments.pdf,1914,53.534199,-113.503067
55bb36f2-808f-4cb1-9f21-8ad3bc9ae6c0,Pendennis Hotel / Lodge Hotel,9660-9664 - Jasper Avenue,Boyle Street,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/PendennisHotel.pdf,1904/12,53.54292,-113.483861
5609831e-db56-4a90-a31e-bb1dec301ba8,Phillips Building,10169 - 104 Street,Downtown,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/PhillipsBuilding.pdf,1912,53.54228,-113.499026
b10dea48-07ac-47c3-a81f-0f817cef9909,RGJ Smith Residence,9824 - 91 Avenue,Strathcona,,1913,53.526586,-113.483741
20e5a3ba-ee90-43aa-9a0a-cb0a57748968,Rehwinkel Parsonage,9608 - 110 Avenue,McCauley,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/RehwinkelResidence.pdf,1913,53.557745,-113.489334
d645e062-c053-435a-a999-0850d4738929,Richard Foote Residence,9704 - 106 Street,Downtown,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/FooteResidence.pdf,1907,53.534318,-113.503044
5441014b-f60d-4bab-af26-585ece73dd63,Richard Wallace Residence,10950 - 81 Street,Cromdale,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/RichardWallace.pdf,1923,53.557915,-113.465641
f0beb7f1-1cf1-4b94-ae5e-78d68c2fe114,Robertson Presbyterian Church,10203 - 123 Street,Oliver,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/RobertsonWesleyChurch.pdf,1913-14,53.543207,-113.533891
3850c64a-ecee-4b6b-9d0b-e65e712fd176,Roy Gerolamy Residence,9823 - 91 Avenue,Strathcona,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/RoyGerolamyResidence.pdf,1913,53.526134,-113.483688
4cc53e1c-0788-4393-a60d-63d48e277d21,Sarah McLellan Residence,11135 - 84 Avenue,Garneau,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/SarahMcLellan.pdf,1913,53.519824,-113.518964
c3288b81-c633-4024-9a5e-8df81e5300e6,St Francis Of Assissi,6670 - 129 Avenue,Balwin,,c.1925,53.587857,-113.444004
35056df9-33eb-49bc-8a35-62c0c9718386,St Joseph Auxillary Hospital,10722 - 82 Avenue,Garneau,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/StJosephs.pdf,1945-48,53.518277,-113.507151
fb2793e5-0c69-4c3e-b5ae-fa70879a4963,Strathcona Hotel,10302 - 82 Avenue,Strathcona,,1891/07,53.518366,-113.495219
bbbf9404-a219-4913-a171-35850a496f9a,Strathcona Public Library,8331 - 104 Street,Strathcona,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/StrathconaLibrary.pdf,1913,53.519385,-113.497295
0a3eeb20-66cf-4220-baa9-3582d62c3609,Thomas Scott Residence,9938 - 85 Avenue,Strathcona,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/ThomasScottResidence.pdf,1912,53.521079,-113.487166
edb9cff3-4a9f-40cd-9fab-2935fab1b826,Trudel Residence,8134 - Jasper Avenue,Cromdale,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/TrudelResidence.pdf,1929,53.557124,-113.465815
3b236d9f-4eab-4f73-8446-a0c9f69e5ae1,Union Bank Of Canada Building,10053 - Jasper Avenue,Downtown,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/UnionBankBuilding.pdf,1909-11,53.54083,-113.492332
f5690b13-8e9d-4200-a320-702a5e06fd72,Westminster Apartments,9955 - 114 Street,Oliver,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/WestminsterApartments.pdf,1912-13,53.538115,-113.517392
751e2eb0-ac2e-4ce3-b6eb-089eb313049f,William Blakey Residence,13526 - 101 Avenue,Glenora,,1946,53.541387,-113.555444
88b4d090-9278-44c6-93f4-98c6b52d203b,William O'Leary Residence,10544 - 126 Street,Westmount,,1913,53.548516,-113.53967
7eb3f56b-59e8-4dab-8742-abfdef016c2d,William Paskins Residence,10613 - 95 Street,McCauley,,1902,53.551702,-113.482087
